"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3306","Auth with incorrect password","Registrartion test suite with no valid data","Mon Dec 15 19:00:52 UTC 2025","passed","Mon Dec 15 19:00:55 UTC 2025","","","",""
"","7419","Auth with valid data","Registrartion test suite with valid data","Mon Dec 15 19:00:34 UTC 2025","passed","Mon Dec 15 19:00:42 UTC 2025","","","",""
"","2978","Auth with empty password","Registrartion test suite with no valid data","Mon Dec 15 19:00:56 UTC 2025","passed","Mon Dec 15 19:00:59 UTC 2025","","","",""
"","11705","Registration with valid data","Registrartion test suite ","Mon Dec 15 19:02:27 UTC 2025","passed","Mon Dec 15 19:02:38 UTC 2025","","","",""
"","10266","Place order using helper function to find a product by name","","Mon Dec 15 19:01:55 UTC 2025","passed","Mon Dec 15 19:02:05 UTC 2025","","","",""
"","3684","Auth with valid data","Registrartion test suite ","Mon Dec 15 19:02:38 UTC 2025","passed","Mon Dec 15 19:02:42 UTC 2025","","","",""
"","2809","Auth with empty login","Registrartion test suite with no valid data","Mon Dec 15 19:01:15 UTC 2025","passed","Mon Dec 15 19:01:18 UTC 2025","","","",""
"","3499","Auth with incorrect login","Registrartion test suite with no valid data","Mon Dec 15 19:01:11 UTC 2025","passed","Mon Dec 15 19:01:14 UTC 2025","","","",""
"","5708","Auth with valid data","Registrartion test suite with valid data","Mon Dec 15 19:01:05 UTC 2025","passed","Mon Dec 15 19:01:11 UTC 2025","","","",""
"","8265","Toast test for position top-right, and type primary","","Mon Dec 15 19:01:39 UTC 2025","passed","Mon Dec 15 19:01:47 UTC 2025","","","",""
"","3827","Auth with empty password","Registrartion test suite with no valid data","Mon Dec 15 19:01:25 UTC 2025","passed","Mon Dec 15 19:01:29 UTC 2025","","","",""
"","2606","Auth with incorrect password","Registrartion test suite with no valid data","Mon Dec 15 19:01:18 UTC 2025","passed","Mon Dec 15 19:01:21 UTC 2025","","","",""
"","3950","Auth with incorrect login","Registrartion test suite with no valid data","Mon Dec 15 19:00:42 UTC 2025","passed","Mon Dec 15 19:00:46 UTC 2025","","","",""
"","4785","Auth with empty login","Registrartion test suite with no valid data","Mon Dec 15 19:00:46 UTC 2025","passed","Mon Dec 15 19:00:51 UTC 2025","","","",""
"","13838","Registration with valid data","","Mon Dec 15 19:02:08 UTC 2025","failed","Mon Dec 15 19:02:22 UTC 2025","","","",""
"","4631","Toast test for position bottom-left, and type success","","Mon Dec 15 19:01:47 UTC 2025","passed","Mon Dec 15 19:01:52 UTC 2025","","","",""
"","37","Example of visibility and how to use fixtures with different data","Registrartion test suite ","Mon Dec 15 19:02:42 UTC 2025","skipped","Mon Dec 15 19:02:42 UTC 2025","","","",""
